,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob
506,104,NewOrleans,117,120,LAClippers,135.0,-550.0,223.5,225.5,-9.0,-9.5,0.34946236559139787,0.6505376344086022
507,105,NewYork,132,400,Miami,122.0,-230.0,222.5,221.0,-6.0,-5.0,0.22297297297297297,0.7770270270270271
508,105,Portland,111,185,Cleveland,103.0,210.0,221.0,217.5,-215.5,215.5,0.5210084033613446,0.4789915966386555
509,105,Memphis,121,240,LALakers,106.0,-2000.0,232.0,236.0,-15.0,-14.5,0.23595505617977527,0.7640449438202247
510,105,Detroit,99,1000,Orlando,101.0,-220.0,221.0,220.0,-4.5,-5.0,0.11678832116788321,0.8832116788321167
511,106,Brooklyn,89,180,Charlotte,104.0,215.0,211.0,212.5,-209.5,-209.0,0.5294117647058824,0.4705882352941176
512,106,Indiana,115,-265,Washington,99.0,340.0,226.5,225.0,5.0,6.5,0.7615937295885042,0.23840627041149573
513,106,OklahomaCity,113,270,Atlanta,115.0,260.0,220.0,224.0,213.0,210.5,0.4931506849315069,0.5068493150684932
514,106,Denver,123,-330,NewOrleans,126.0,150.0,223.0,221.0,8.5,7.5,0.6573705179282869,0.3426294820717132
515,106,Utah,128,-180,SanAntonio,126.0,300.0,229.5,228.5,2.0,4.0,0.72,0.27999999999999997
516,106,Chicago,110,300,Sacramento,111.0,-600.0,217.5,217.5,-9.0,-10.0,0.22580645161290322,0.7741935483870966
517,106,GoldenState,98,425,Cleveland,113.0,145.0,215.0,219.5,211.0,213.0,0.3181818181818182,0.6818181818181819
518,107,Portland,101,120,Brooklyn,103.0,-120.0,220.0,221.0,-217.0,-1.0,0.45454545454545453,0.5454545454545454
519,107,Minnesota,112,160,Phoenix,103.0,-280.0,228.0,228.5,-4.5,-6.5,0.34296028880866425,0.6570397111913356
520,107,Sacramento,114,230,LALakers,117.0,-1600.0,226.5,226.0,-14.0,-13.5,0.24355300859598855,0.7564469914040115
521,107,NewYork,87,900,Charlotte,110.0,120.0,220.5,222.5,-209.0,-207.0,0.18032786885245902,0.8196721311475409
522,108,Miami,122,105,Orlando,123.0,-500.0,211.0,210.0,-10.5,-9.5,0.3692307692307692,0.6307692307692307
523,108,Washington,89,375,Boston,114.0,-310.0,219.5,218.5,-5.5,-7.0,0.21779548472775564,0.7822045152722443
524,108,SanAntonio,129,250,Dallas,106.0,-185.0,219.5,220.5,-1.5,-4.0,0.30563002680965146,0.6943699731903485
525,108,Denver,107,155,Atlanta,115.0,280.0,235.0,237.0,218.0,221.5,0.5984251968503937,0.4015748031496063
526,108,Chicago,108,140,Utah,128.0,-1500.0,222.0,225.0,-12.5,-14.0,0.3076923076923077,0.6923076923076923
527,108,NewYork,104,850,GoldenState,98.0,850.0,219.0,217.5,218.0,213.5,0.5,0.5
528,109,Cleveland,115,235,Philadelphia,109.0,-110.0,221.0,221.0,-2.5,-0.0,0.3630077787381158,0.6369922212618843
529,109,Boston,98,-110,Minnesota,116.0,-110.0,214.0,218.0,-2.5,-0.0,0.5,0.5
530,109,Portland,102,-110,OklahomaCity,113.0,145.0,227.0,227.5,224.0,224.0,0.5620437956204379,0.43795620437956206
531,110,Atlanta,101,-115,Brooklyn,117.0,155.0,237.5,217.5,-217.0,1.0,0.5769798327594687,0.4230201672405312
532,110,SanAntonio,121,-110,NewYork,111.0,150.0,225.5,231.0,1.0,-226.0,0.5670103092783505,0.4329896907216495
533,110,LALakers,129,115,Utah,109.0,-900.0,222.0,223.0,-13.0,-12.0,0.34071550255536626,0.6592844974446337
534,110,Charlotte,92,600,Phoenix,98.0,-170.0,217.0,210.5,212.5,-4.0,0.18493150684931503,0.8150684931506849
535,110,Orlando,94,145,Sacramento,106.0,375.0,223.0,224.0,1.0,217.5,0.6597222222222222,0.34027777777777773
536,110,GoldenState,100,850,Houston,139.0,-550.0,221.5,218.0,-11.0,-10.0,0.11063829787234042,0.8893617021276595
537,111,Minnesota,109,400,Boston,140.0,-800.0,230.0,232.0,-9.0,-11.5,0.18367346938775514,0.8163265306122449
538,111,NewOrleans,105,550,Detroit,99.0,-170.0,225.0,223.5,-3.5,-4.0,0.19636363636363638,0.8036363636363636
539,111,Chicago,108,145,OklahomaCity,110.0,-400.0,217.0,215.5,-215.0,-8.5,0.33783783783783783,0.6621621621621622
540,111,Philadelphia,91,130,Denver,103.0,-1000.0,223.5,222.0,-13.0,-12.5,0.32352941176470584,0.676470588235294
541,111,Cleveland,111,650,Portland,101.0,275.0,227.5,232.0,215.0,216.5,0.3333333333333333,0.6666666666666666
542,111,Milwaukee,122,-350,NewYork,124.0,274.0,218.0,217.0,5.5,7.5,0.7441728254690164,0.2558271745309835
543,112,Miami,121,-340,Washington,116.0,303.0,223.0,224.0,8.0,7.5,0.756932935587228,0.24306706441277212
544,112,Atlanta,86,192,Memphis,122.0,-260.0,231.0,225.5,-6.5,-6.5,0.32165832737669764,0.6783416726233024
545,112,GoldenState,102,215,Toronto,104.0,-160.0,224.0,225.0,-4.0,-5.0,0.3403141361256544,0.6596858638743456
546,112,SanAntonio,105,140,Denver,114.0,-115.0,221.0,220.0,-1.0,-0.0,0.43788187372708764,0.5621181262729125
547,112,LAClippers,104,-105,Phoenix,100.0,-350.0,221.0,221.5,-8.0,-8.5,0.3970588235294118,0.6029411764705883
548,112,Charlotte,92,281,Indiana,101.0,-130.0,219.5,217.0,-2.0,-3.5,0.31711016131256037,0.6828898386874397
549,113,Philadelphia,95,110,Detroit,110.0,-108.0,213.0,214.5,-1.0,-5.0,0.47838086476540936,0.5216191352345907
550,113,NewOrleans,117,-112,Boston,113.0,-500.0,227.5,221.5,-9.5,-9.5,0.3879907621247113,0.6120092378752887
551,113,Chicago,101,384,Minnesota,104.0,120.0,219.0,218.0,215.5,216.5,0.3125,0.6875
552,113,Charlotte,112,400,Sacramento,112.0,-137.0,218.0,215.5,-209.0,-212.0,0.2570498915401302,0.7429501084598699
553,113,Cleveland,99,876,Atlanta,123.0,170.0,225.0,230.5,219.5,222.0,0.21669341894060998,0.78330658105939
554,114,Phoenix,110,-200,Brooklyn,107.0,115.0,218.0,222.5,5.0,1.5,0.5890410958904109,0.410958904109589
555,114,Utah,118,-135,Memphis,121.0,155.0,238.0,240.5,3.0,3.0,0.5943029779887786,0.40569702201122143
556,114,NewYork,102,1150,LAClippers,128.0,-1600.0,227.0,229.0,-15.0,-16.0,0.07834101382488479,0.9216589861751151
557,114,Cleveland,103,912,GoldenState,97.0,274.0,223.0,224.0,223.0,-223.5,0.2698412698412698,0.7301587301587302
558,115,Brooklyn,106,263,Boston,103.0,-500.0,218.0,221.5,-10.0,-9.0,0.2484472049689441,0.7515527950310559
559,115,Detroit,116,384,Miami,106.0,-230.0,218.0,218.0,-5.5,-5.0,0.22865853658536586,0.7713414634146342
560,115,SanAntonio,100,192,Minnesota,99.0,112.0,222.0,219.5,-218.5,-218.0,0.42063492063492064,0.5793650793650794
561,115,Toronto,130,110,Chicago,115.0,-175.0,213.5,212.5,-4.0,-4.0,0.4280155642023346,0.5719844357976653
562,115,Washington,106,151,Denver,100.0,-1100.0,227.0,228.5,-13.0,-11.5,0.3029537995455693,0.6970462004544307
563,115,Charlotte,86,711,Houston,107.0,-380.0,210.5,209.5,-9.5,-8.5,0.13476332191588522,0.8652366780841148
564,115,Portland,117,303,Sacramento,123.0,144.0,236.0,236.5,-224.0,-225.5,0.37712519319938176,0.6228748068006182
565,115,Orlando,119,459,NewYork,98.0,115.0,225.0,226.5,211.5,209.5,0.2777777777777778,0.7222222222222222
566,116,Boston,123,500,NewOrleans,138.0,185.0,225.5,227.5,223.0,-225.0,0.3220338983050848,0.6779661016949153
