Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Sun, Nov 14, 2021",6:00p,Milwaukee Bucks,,Atlanta Hawks,,,,,
"Sun, Nov 14, 2021",7:00p,Golden State Warriors,,Charlotte Hornets,,,,,
"Sun, Nov 14, 2021",7:00p,Phoenix Suns,,Houston Rockets,,,,,
"Sun, Nov 14, 2021",7:00p,Brooklyn Nets,,Oklahoma City Thunder,,,,,
"Sun, Nov 14, 2021",8:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
"Sun, Nov 14, 2021",9:30p,Chicago Bulls,,Los Angeles Clippers,,,,,
"Mon, Nov 15, 2021",7:00p,Boston Celtics,,Cleveland Cavaliers,,,,,
"Mon, Nov 15, 2021",7:00p,Sacramento Kings,,Detroit Pistons,,,,,
"Mon, Nov 15, 2021",7:00p,New Orleans Pelicans,,Washington Wizards,,,,,
"Mon, Nov 15, 2021",7:30p,Orlando Magic,,Atlanta Hawks,,,,,
"Mon, Nov 15, 2021",7:30p,Indiana Pacers,,New York Knicks,,,,,
"Mon, Nov 15, 2021",8:00p,Denver Nuggets,,Dallas Mavericks,,,,,
"Mon, Nov 15, 2021",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
"Mon, Nov 15, 2021",8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,
"Mon, Nov 15, 2021",8:00p,Miami Heat,,Oklahoma City Thunder,,,,,
"Mon, Nov 15, 2021",10:00p,Toronto Raptors,,Portland Trail Blazers,,,,,
"Mon, Nov 15, 2021",10:30p,Chicago Bulls,,Los Angeles Lakers,,,,,
"Tue, Nov 16, 2021",7:30p,Golden State Warriors,,Brooklyn Nets,,,,,
"Tue, Nov 16, 2021",10:00p,Philadelphia 76ers,,Utah Jazz,,,,,
"Tue, Nov 16, 2021",10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
"Wed, Nov 17, 2021",7:00p,Washington Wizards,,Charlotte Hornets,,,,,
"Wed, Nov 17, 2021",7:00p,Indiana Pacers,,Detroit Pistons,,,,,
"Wed, Nov 17, 2021",7:30p,Boston Celtics,,Atlanta Hawks,,,,,
"Wed, Nov 17, 2021",7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,,,
"Wed, Nov 17, 2021",7:30p,New Orleans Pelicans,,Miami Heat,,,,,
"Wed, Nov 17, 2021",7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,,,
"Wed, Nov 17, 2021",7:30p,Orlando Magic,,New York Knicks,,,,,
"Wed, Nov 17, 2021",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,
"Wed, Nov 17, 2021",8:00p,Houston Rockets,,Oklahoma City Thunder,,,,,
"Wed, Nov 17, 2021",10:00p,Dallas Mavericks,,Phoenix Suns,,,,,
"Wed, Nov 17, 2021",10:00p,Chicago Bulls,,Portland Trail Blazers,,,,,
"Thu, Nov 18, 2021",7:30p,Golden State Warriors,,Cleveland Cavaliers,,,,,
"Thu, Nov 18, 2021",7:30p,Washington Wizards,,Miami Heat,,,,,
"Thu, Nov 18, 2021",8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
"Thu, Nov 18, 2021",8:00p,San Antonio Spurs,,Minnesota Timberwolves,,,,,
"Thu, Nov 18, 2021",9:00p,Philadelphia 76ers,,Denver Nuggets,,,,,
"Thu, Nov 18, 2021",9:00p,Toronto Raptors,,Utah Jazz,,,,,
"Fri, Nov 19, 2021",7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
"Fri, Nov 19, 2021",7:00p,Golden State Warriors,,Detroit Pistons,,,,,
"Fri, Nov 19, 2021",7:30p,Los Angeles Lakers,,Boston Celtics,,,,,
"Fri, Nov 19, 2021",7:30p,Orlando Magic,,Brooklyn Nets,,,,,
"Fri, Nov 19, 2021",8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,,,
"Fri, Nov 19, 2021",8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,,,
"Fri, Nov 19, 2021",9:00p,Chicago Bulls,,Denver Nuggets,,,,,
"Fri, Nov 19, 2021",10:00p,Dallas Mavericks,,Phoenix Suns,,,,,
"Fri, Nov 19, 2021",10:00p,Toronto Raptors,,Sacramento Kings,,,,,
"Sat, Nov 20, 2021",5:00p,Houston Rockets,,New York Knicks,,,,,
"Sat, Nov 20, 2021",7:00p,New Orleans Pelicans,,Indiana Pacers,,,,,
"Sat, Nov 20, 2021",7:00p,Miami Heat,,Washington Wizards,,,,,
"Sat, Nov 20, 2021",7:30p,Charlotte Hornets,,Atlanta Hawks,,,,,
"Sat, Nov 20, 2021",7:30p,Oklahoma City Thunder,,Boston Celtics,,,,,
"Sat, Nov 20, 2021",8:00p,Orlando Magic,,Milwaukee Bucks,,,,,
"Sat, Nov 20, 2021",8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,
"Sat, Nov 20, 2021",10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,
"Sat, Nov 20, 2021",10:00p,Utah Jazz,,Sacramento Kings,,,,,
"Sun, Nov 21, 2021",3:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,
"Sun, Nov 21, 2021",6:00p,Los Angeles Lakers,,Detroit Pistons,,,,,
"Sun, Nov 21, 2021",8:00p,New York Knicks,,Chicago Bulls,,,,,
"Sun, Nov 21, 2021",8:00p,Denver Nuggets,,Phoenix Suns,,,,,
"Sun, Nov 21, 2021",8:30p,Toronto Raptors,,Golden State Warriors,,,,,
"Mon, Nov 22, 2021",7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,
"Mon, Nov 22, 2021",7:00p,Charlotte Hornets,,Washington Wizards,,,,,
"Mon, Nov 22, 2021",7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,,,
"Mon, Nov 22, 2021",7:30p,Houston Rockets,,Boston Celtics,,,,,
"Mon, Nov 22, 2021",8:00p,Indiana Pacers,,Chicago Bulls,,,,,
"Mon, Nov 22, 2021",8:00p,Orlando Magic,,Milwaukee Bucks,,,,,
"Mon, Nov 22, 2021",8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,
"Mon, Nov 22, 2021",8:30p,Phoenix Suns,,San Antonio Spurs,,,,,
"Mon, Nov 22, 2021",9:00p,Memphis Grizzlies,,Utah Jazz,,,,,
"Mon, Nov 22, 2021",10:00p,Philadelphia 76ers,,Sacramento Kings,,,,,
"Tue, Nov 23, 2021",7:00p,Miami Heat,,Detroit Pistons,,,,,
"Tue, Nov 23, 2021",7:30p,Los Angeles Lakers,,New York Knicks,,,,,
"Tue, Nov 23, 2021",10:00p,Denver Nuggets,,Portland Trail Blazers,,,,,
"Tue, Nov 23, 2021",10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,
"Wed, Nov 24, 2021",7:00p,Phoenix Suns,,Cleveland Cavaliers,,,,,
"Wed, Nov 24, 2021",7:00p,Los Angeles Lakers,,Indiana Pacers,,,,,
"Wed, Nov 24, 2021",7:00p,Charlotte Hornets,,Orlando Magic,,,,,
"Wed, Nov 24, 2021",7:30p,Brooklyn Nets,,Boston Celtics,,,,,
"Wed, Nov 24, 2021",8:00p,Chicago Bulls,,Houston Rockets,,,,,
"Wed, Nov 24, 2021",8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,
"Wed, Nov 24, 2021",8:00p,Detroit Pistons,,Milwaukee Bucks,,,,,
"Wed, Nov 24, 2021",8:00p,Miami Heat,,Minnesota Timberwolves,,,,,
"Wed, Nov 24, 2021",8:00p,Washington Wizards,,New Orleans Pelicans,,,,,
"Wed, Nov 24, 2021",8:00p,Utah Jazz,,Oklahoma City Thunder,,,,,
"Wed, Nov 24, 2021",8:30p,Atlanta Hawks,,San Antonio Spurs,,,,,
"Wed, Nov 24, 2021",10:00p,Philadelphia 76ers,,Golden State Warriors,,,,,
"Wed, Nov 24, 2021",10:00p,Portland Trail Blazers,,Sacramento Kings,,,,,
"Fri, Nov 26, 2021",3:30p,Detroit Pistons,,Los Angeles Clippers,,,,,
"Fri, Nov 26, 2021",7:00p,Minnesota Timberwolves,,Charlotte Hornets,,,,,
"Fri, Nov 26, 2021",7:00p,Phoenix Suns,,New York Knicks,,,,,
"Fri, Nov 26, 2021",7:00p,Chicago Bulls,,Orlando Magic,,,,,
"Fri, Nov 26, 2021",8:00p,Toronto Raptors,,Indiana Pacers,,,,,
"Fri, Nov 26, 2021",8:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,
"Fri, Nov 26, 2021",8:00p,Washington Wizards,,Oklahoma City Thunder,,,,,
"Fri, Nov 26, 2021",8:30p,Boston Celtics,,San Antonio Spurs,,,,,
"Fri, Nov 26, 2021",9:00p,Milwaukee Bucks,,Denver Nuggets,,,,,
"Fri, Nov 26, 2021",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,
"Fri, Nov 26, 2021",10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,
"Fri, Nov 26, 2021",10:30p,Sacramento Kings,,Los Angeles Lakers,,,,,
"Sat, Nov 27, 2021",6:00p,Minnesota Timberwolves,,Philadelphia 76ers,,,,,
"Sat, Nov 27, 2021",7:30p,New York Knicks,,Atlanta Hawks,,,,,
"Sat, Nov 27, 2021",7:30p,Phoenix Suns,,Brooklyn Nets,,,,,
"Sat, Nov 27, 2021",8:00p,Miami Heat,,Chicago Bulls,,,,,
"Sat, Nov 27, 2021",8:00p,Orlando Magic,,Cleveland Cavaliers,,,,,
"Sat, Nov 27, 2021",8:00p,Charlotte Hornets,,Houston Rockets,,,,,
"Sat, Nov 27, 2021",8:30p,Washington Wizards,,Dallas Mavericks,,,,,
"Sat, Nov 27, 2021",9:00p,New Orleans Pelicans,,Utah Jazz,,,,,
"Sun, Nov 28, 2021",3:30p,Golden State Warriors,,Los Angeles Clippers,,,,,
"Sun, Nov 28, 2021",5:00p,Milwaukee Bucks,,Indiana Pacers,,,,,
"Sun, Nov 28, 2021",6:00p,Sacramento Kings,,Memphis Grizzlies,,,,,
"Sun, Nov 28, 2021",6:00p,Boston Celtics,,Toronto Raptors,,,,,
"Sun, Nov 28, 2021",9:30p,Detroit Pistons,,Los Angeles Lakers,,,,,
"Mon, Nov 29, 2021",7:00p,Orlando Magic,,Philadelphia 76ers,,,,,
"Mon, Nov 29, 2021",7:30p,Denver Nuggets,,Miami Heat,,,,,
"Mon, Nov 29, 2021",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,
"Mon, Nov 29, 2021",8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,
"Mon, Nov 29, 2021",8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
"Mon, Nov 29, 2021",8:30p,Cleveland Cavaliers,,Dallas Mavericks,,,,,
"Mon, Nov 29, 2021",8:30p,Washington Wizards,,San Antonio Spurs,,,,,
"Mon, Nov 29, 2021",9:00p,Portland Trail Blazers,,Utah Jazz,,,,,
"Mon, Nov 29, 2021",10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,
"Tue, Nov 30, 2021",7:30p,New York Knicks,,Brooklyn Nets,,,,,
"Tue, Nov 30, 2021",7:30p,Memphis Grizzlies,,Toronto Raptors,,,,,
"Tue, Nov 30, 2021",10:00p,Golden State Warriors,,Phoenix Suns,,,,,
"Tue, Nov 30, 2021",10:00p,Detroit Pistons,,Portland Trail Blazers,,,,,
"Tue, Nov 30, 2021",10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,
