,Unnamed: 0,id,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,v_win_prob,h_win_prob,actual_spread,pred_spread,hw_prob,margin,spread_diff_vegas,vegas_spread_winprob,bet_size,pred_error,spread_outcome,bet_outcome
1014,1014,1014,509,NewOrleans,112,135,Charlotte,110,-155,220.0,224.0,-4.5,-3.0,0.4117884537747275,0.5882115462252725,-2,7.386078877572055,0.3052412817158082,2,10.386078877572055,0.23540000000000005,-0.12641499999999997,-5.386078877572055,-1,1
1015,1015,1015,509,Minnesota,128,-300,Orlando,96,250,229.0,232.5,6.5,7.5,0.7241379310344829,0.2758620689655172,-32,17.899724729779006,0.1085150687093694,32,10.399724729779006,0.23509999999999998,-0.1265725,14.100275270220994,1,0
1016,1016,1016,509,Chicago,108,-450,Detroit,96,375,220.5,216.5,8.5,9.5,0.7953488372093024,0.2046511627906976,-12,0.7214648320692474,0.4801583372456804,12,-8.778535167930752,0.7289,0.10767249999999999,11.278535167930752,1,1
1017,1017,1017,509,Phoenix,110,-250,LALakers,123,210,214.0,217.0,5.5,6.5,0.6888888888888889,0.311111111111111,13,7.484460178382056,0.3028679567188563,-13,0.9844601783820561,0.4727,-0.001832499999999987,-20.484460178382058,-1,1
1018,1018,1018,509,OklahomaCity,98,375,Sacramento,126,-450,221.5,224.0,-9.5,-9.5,0.2046511627906976,0.7953488372093024,28,-11.990946703417832,0.7958706550791151,-28,-2.4909467034178316,0.5687,0.02356750000000003,-16.009053296582167,-1,0
1019,1019,1019,510,Washington,124,290,Atlanta,125,-350,237.5,237.0,-7.5,-8.5,0.2479338842975206,0.7520661157024794,1,10.041255654333508,0.2443115705509282,-1,18.541255654333508,0.09889999999999999,-0.19807750000000002,-11.041255654333508,-1,1
1020,1020,1020,510,Indiana,111,-450,Cleveland,102,375,229.0,228.5,6.5,9.5,0.7953488372093024,0.2046511627906976,-9,9.86511383157355,0.2481405884774404,9,0.3651138315735505,0.4899,0.0,-0.8651138315735505,-1,0
1021,1021,1021,510,NewOrleans,110,400,Memphis,115,-500,225.5,228.5,-9.5,-9.5,0.1935483870967742,0.8064516129032258,5,7.722114996710897,0.2971692182403025,-5,17.222114996710896,0.1159,-0.1891525,-12.722114996710896,-1,1
1022,1022,1022,510,Milwaukee,125,-300,SanAntonio,146,250,234.0,233.5,7.5,7.0,0.7241379310344829,0.2758620689655172,21,2.295240144870496,0.4371131889122364,-21,-4.704759855129504,0.6281,0.054752500000000016,-23.295240144870498,-1,0
1023,1023,1023,510,Utah,116,-125,GoldenState,119,105,228.5,226.5,2.5,2.0,0.5324675324675325,0.4675324675324675,3,0.7648645581424773,0.4789658369962688,-3,-1.2351354418575227,0.5342,0.005455000000000004,-3.7648645581424773,-1,0
1024,1024,1024,510,Houston,129,900,Portland,140,-1600,238.0,239.5,-14.0,-15.0,0.096045197740113,0.9039548022598868,11,-16.63878342753944,0.874412959554715,-11,-1.6387834275394404,0.5453,0.01128249999999999,5.63878342753944,1,1
1025,1025,1025,511,Minnesota,119,-310,Detroit,100,260,227.5,228.0,7.5,7.5,0.7313237221494101,0.2686762778505897,-19,8.790840939621665,0.2721694337854188,19,1.2908409396216651,0.46430000000000005,-0.006242499999999984,10.209159060378335,1,0
1026,1026,1026,511,Denver,117,-240,Charlotte,112,200,220.5,223.5,5.5,6.0,0.6792452830188679,0.320754716981132,-5,7.324853849463675,0.3067224114111005,5,1.3248538494636746,0.46330000000000005,-0.006767499999999971,-2.3248538494636746,-1,1
1027,1027,1027,511,Miami,129,-120,Boston,121,100,222.5,224.5,1.0,1.5,0.5217391304347826,0.4782608695652174,-8,2.679395148947356,0.426698494634445,8,1.1793951489473562,0.46740000000000004,-0.004615000000000014,5.320604851052644,1,0
1028,1028,1028,511,LAClippers,115,-1200,Toronto,96,750,220.5,217.5,11.5,13.5,0.8869565217391304,0.1130434782608695,-19,-0.1538068979921498,0.5042316499294696,19,-13.65380689799215,0.8285,0.1599625,19.15380689799215,1,1
1029,1029,1029,511,Brooklyn,115,-185,Chicago,107,165,232.0,234.5,5.5,4.5,0.6323766526926797,0.3676233473073202,-8,8.34841485812965,0.2823911578497452,8,3.848414858129649,0.39459999999999995,-0.04283499999999999,-0.3484148581296491,-1,1
1030,1030,1030,511,Dallas,104,-155,Memphis,133,135,226.5,227.5,2.0,3.5,0.5882115462252725,0.4117884537747275,29,7.245157205877964,0.3086551333626088,-29,3.7451572058779643,0.3974,-0.041365000000000055,-36.245157205877966,-1,1
1031,1031,1031,511,Philadelphia,94,-210,Indiana,103,180,236.5,233.5,6.5,5.5,0.6547884187082406,0.3452115812917595,9,2.9088307826386424,0.4205021524560273,-9,-2.5911692173613576,0.5714,0.024985000000000018,-11.908830782638642,-1,0
1032,1032,1032,511,Orlando,102,1000,Milwaukee,114,-2000,229.5,230.0,-14.0,-15.5,0.0871369294605809,0.9128630705394192,12,-21.997221789446705,0.9353729417157564,-12,-6.497221789446705,0.6740999999999999,0.07890249999999994,9.997221789446705,1,1
1033,1033,1033,511,Phoenix,116,-180,GoldenState,122,160,231.0,231.5,5.0,4.5,0.6256684491978609,0.374331550802139,6,-1.759078840564941,0.5482795399847655,-6,-6.259078840564941,0.6681,0.07575249999999997,-4.240921159435059,-1,0
1034,1034,1034,511,OklahomaCity,106,375,Sacramento,122,-450,224.0,222.5,-10.5,-9.0,0.2046511627906976,0.7953488372093024,16,-11.990946703417832,0.7958706550791151,-16,-2.9909467034178316,0.5823,0.030707500000000044,-4.009053296582168,-1,0
1035,1035,1035,511,NewYork,99,125,LALakers,101,-145,214.5,210.0,-5.5,-2.5,0.4288840262582056,0.5711159737417943,2,12.504567395806063,0.1942381325526039,-2,15.004567395806063,0.14870000000000005,-0.1719325,-14.504567395806063,-1,1
1036,1036,1036,512,Washington,116,235,Atlanta,120,-275,240.0,238.5,-6.5,-7.0,0.2892960462873674,0.7107039537126325,4,10.041255654333508,0.2443115705509282,-4,17.041255654333508,0.11829999999999996,-0.1878925,-14.041255654333508,-1,1
1037,1037,1037,512,SanAntonio,116,175,Brooklyn,128,-200,223.5,233.0,-5.0,-5.0,0.3529411764705882,0.6470588235294118,12,-4.356371929716813,0.6180790095058519,-12,0.6436280702831869,0.48219999999999996,0.0,-7.643628070283187,-1,0
1038,1038,1038,512,Boston,94,-250,Cleveland,102,210,219.5,222.0,10.0,6.0,0.6888888888888889,0.311111111111111,8,7.4205983446712604,0.3044076031661694,-8,1.4205983446712604,0.4607,-0.00813250000000001,-15.42059834467126,-1,1
1039,1039,1039,512,Portland,105,-105,Utah,98,-115,235.0,234.0,-3.0,-1.0,0.4891657638136511,0.5108342361863488,-7,-1.5164444116402658,0.5416463989354685,7,-0.5164444116402658,0.5143,0.0,8.516444411640265,1,0
1040,1040,1040,512,NewOrleans,107,385,Dallas,125,-470,225.0,225.5,-10.5,-9.5,0.2000350938761186,0.7999649061238814,18,-0.6989602279544238,0.5192232300488717,-18,8.801039772045577,0.27049999999999996,-0.10798750000000006,-17.301039772045577,-1,1
1041,1041,1041,512,Houston,122,400,LALakers,124,-500,223.5,220.0,-13.5,-9.0,0.1935483870967742,0.8064516129032258,2,-5.79498822451552,0.6552944440366333,-2,3.20501177548448,0.41190000000000004,-0.03375249999999994,3.79498822451552,1,0
1042,1042,1042,513,LAClippers,113,-350,Charlotte,90,290,223.5,220.5,8.0,8.5,0.7520661157024794,0.2479338842975206,-23,2.8466645035782205,0.4221791928147715,23,-5.6533354964217795,0.6527000000000001,0.0676675,20.15333549642178,1,1
1043,1043,1043,513,Milwaukee,142,-450,Indiana,133,375,241.0,241.5,8.5,9.5,0.7953488372093024,0.2046511627906976,-9,3.336473476009308,0.4090064034194932,9,-6.163526523990692,0.6657,0.07449249999999995,5.663526523990692,1,1
