,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
1034,1034,316,Memphis,128,105,Washington,135,-125,224.0,225.0,-3.5,-1.5,M128W135,-7,0.5556,0.4878,1457.0755686367888,1420.3177040075323,0.6437,0.35629999999999995,-3.6699237367591633,-2.1699237367591633,0.5616,-0.019839999999999993,,-3.3300762632408367,-1,-1,0.0,66.2120898767204
1035,1035,316,Phoenix,138,160,NewOrleans,136,-190,232.5,235.0,-1.0,-4.5,P138N136,2,0.6552,0.3846,1451.8015538642824,1339.2741328421641,0.7365,0.26349999999999996,-6.375979322218508,-1.875979322218508,0.5533,-0.015482500000000005,,8.375979322218509,1,1,1.0,65.18696119520408
1036,1036,316,GoldenState,110,105,OklahomaCity,88,-125,231.5,228.5,-1.0,-2.0,G110O88,22,0.5556,0.4878,1575.5620880896429,1645.1862814920498,0.4948,0.5052,0.12943547865739088,2.129435478657391,0.4396,0.019209999999999984,GoldenState,21.870564521342608,1,1,0.0,66.3253625811676
1037,1037,316,Portland,103,125,SanAntonio,108,-145,227.0,223.0,-1.5,-2.5,P103S108,-5,0.5918,0.4444,1581.09490972484,1602.6252967327239,0.5636,0.4364,-1.5882004640041438,0.9117995359958562,0.474,0.0011500000000000288,Portland,-3.411799535995856,-1,-1,1.0,66.24908841419925
1038,1038,316,Cleveland,116,180,Dallas,121,-220,215.5,217.5,-6.5,-5.0,C116D121,-5,0.6875,0.3571,1409.3398424271932,1338.8532821106369,0.6869,0.31310000000000004,-4.874520011305582,0.12547998869441823,0.49639999999999995,0.0,,-0.12547998869441823,-1,1,0.0,66.24908841419925
1039,1039,316,Indiana,100,250,Denver,102,-310,215.0,214.0,-7.5,-7.0,I100D102,-2,0.7561,0.2857,1606.658095214738,1570.239174152851,0.6433,0.3567,-3.6578186093531064,3.3421813906468936,0.40569999999999995,0.037007500000000006,Indiana,1.6578186093531064,1,1,0.0,68.47791854100696
1040,1040,316,Brooklyn,98,340,Utah,114,-440,221.0,218.5,-8.5,-9.0,B98U114,-16,0.8148,0.2273,1583.5292006161792,1502.038560120555,0.7004,0.2996,-5.267522874843719,3.732477125156281,0.39490000000000003,0.04267749999999996,Brooklyn,-10.732477125156281,-1,-1,1.0,65.55545217247314
1041,1041,317,LALakers,123,-210,NewYork,124,175,219.0,220.5,4.0,5.0,L123N124,-1,0.3636,0.6774,1264.7599797704886,1440.6375358966363,0.3469,0.6531,3.924198433076705,-1.0758015669232952,0.5306,-0.003564999999999979,,-4.924198433076705,-1,-1,0.0,65.76791143337756
1042,1042,317,Charlotte,75,135,Miami,93,-155,215.0,210.0,-4.0,-3.0,C75M93,-18,0.6078,0.4255,1482.6803757409123,1454.2364875262147,0.6327,0.36729999999999996,-3.372996007667772,-0.37299600766777186,0.5105999999999999,0.0,,-14.627003992332227,-1,-1,0.0,65.76791143337756
1043,1043,317,Philadelphia,130,210,Milwaukee,125,-260,231.0,230.0,-6.5,-5.5,P130M125,5,0.7222,0.3226,1682.3435270597538,1600.9654865352384,0.7002,0.29979999999999996,-5.263501447304122,0.2364985526958776,0.49329999999999996,0.0,,10.263501447304122,1,1,0.0,65.76791143337756
1044,1044,317,Toronto,107,-110,Detroit,110,-110,216.0,215.5,0.0,0.0,T107D110,-3,0.5238,0.5238,1523.1973880904657,1640.2869632532943,0.427,0.573,1.8246276843867366,1.8246276843867366,0.44820000000000004,0.014694999999999963,Toronto,-4.824627684386737,-1,-1,1.0,64.80145197486408
1045,1045,317,Atlanta,91,325,Orlando,101,-425,225.0,225.0,-7.0,-9.0,A91O101,-10,0.8095,0.2353,1475.1627791576987,1389.688537540725,0.7052,0.29479999999999995,-5.409794343463342,3.590205656536658,0.39880000000000004,0.040629999999999965,Atlanta,-4.590205656536658,-1,-1,1.0,62.168568981125354
1046,1046,317,Chicago,102,230,Sacramento,129,-280,233.0,231.0,-6.5,-6.5,C102S129,-27,0.7368,0.303,1468.4751082732855,1354.9309770506363,0.7376,0.26239999999999997,-6.4122904008088994,0.08770959919110055,0.49750000000000005,0.0,,-20.5877095991911,-1,-1,1.0,62.168568981125354
1047,1047,317,Minnesota,102,425,Houston,117,-600,227.0,224.5,-8.0,-9.5,M102H117,-15,0.8571,0.1905,1633.5016331556058,1475.7905364143805,0.7838,0.21619999999999995,-7.989682026472329,1.5103179735276706,0.45699999999999996,0.010075000000000046,Minnesota,-7.010317973527671,-1,-1,1.0,61.542220648640516
1048,1048,317,Brooklyn,116,210,LAClippers,119,-260,231.0,230.0,-5.5,-6.0,B116L119,-3,0.7222,0.3226,1551.6974839700406,1496.04580897877,0.6683,0.3317,-4.344702678259661,1.6552973217403393,0.45289999999999997,0.012227500000000002,Brooklyn,1.3447026782596607,1,1,0.0,62.226318378623475
1049,1049,318,Detroit,119,-260,Cleveland,126,210,214.0,212.0,6.5,6.5,D119C126,-7,0.3226,0.7222,1332.5913410609892,1534.6573564396008,0.3136,0.6864,4.859500549236129,-1.6404994507638708,0.5466,-0.011964999999999948,,-11.85950054923613,-1,-1,0.0,62.90317101444186
1050,1050,318,Utah,116,-240,Washington,95,190,228.5,227.0,4.0,5.5,U116W95,21,0.3448,0.7059,1464.2012837322977,1589.5219517579642,0.4155,0.5845,2.118595286630945,-3.381404713369055,0.5953999999999999,-0.037585,,18.881404713369054,1,1,1.0,60.53895533186406
1051,1051,318,Denver,114,170,Boston,105,-200,222.5,221.5,-2.5,-4.5,D114B105,9,0.6667,0.3704,1592.0495105324462,1613.792762439097,0.5633,0.4367,-1.5805981461910423,2.9194018538089574,0.4174,0.030864999999999955,Denver,10.580598146191042,1,1,0.0,62.23762338306222
1052,1052,318,NewYork,92,750,Toronto,128,-1200,212.0,213.5,-13.0,-12.5,N92T128,-36,0.9231,0.1176,1628.8269949041592,1277.821129483243,0.9169,0.08309999999999995,-14.893066622175573,-2.3930666221755725,0.5679000000000001,-0.023147500000000067,,-21.106933377824426,-1,-1,0.0,63.54730100784353
